id,entityid,companyname,displayName,isinactive,subsidiary,subsidiaryId
3840,Molteni,Molteni,Molteni,false,Patra Group : Opuzen,2
455,Morgan / MJD,Morgan / MJD,Morgan / MJD,false,Patra Group : Opuzen,2
4302,Moygashel,Moygashel,Moygashel,false,Patra Group : Opuzen,2
456,MTL Global Ventures,MTL Global Ventures,MTL Global Ventures,false,Patra Group : Opuzen,2
4326,Muller Zell GmbH,Muller Zell GmbH,Muller Zell GmbH,false,Patra Group : Opuzen,2
568,Nardes,Nardes,Nardes,false,Patra Group : Opuzen,2
569,Nassimi LLC,Nassimi Textiles,Nassimi Textiles,false,Patra Group : Opuzen,2
3828,Nassimi Textiles,Nassimi Textiles,Nassimi Textiles,false,Patra Group : Opuzen,2
4090,Natalie Mize Collective,Natalie Mize Collective,Natalie Mize Collective,false,Patra Group : Opuzen,2
458,"National Business Furniture, LLC","National Business Furniture, LLC","National Business Furniture, LLC",false,Patra Group : Opuzen,2
4327,Nelen & Delbeke,Nelen & Delbeke,Nelen & Delbeke,false,Patra Group : Opuzen,2
459,Nespresso,Nespresso,Nespresso,false,Patra Group : Opuzen,2
460,Net Suite - Oracle,Net Suite - Oracle,Net Suite - Oracle,false,Patra Group : Opuzen,2
461,Nextiva,Nextiva,Nextiva,false,Patra Group : Opuzen,2
462,Nicklin LLP,Nicklin LLP,Nicklin LLP,false,Patra Group : Opuzen,2
463,Noobeh LLC,Noobeh LLC,Noobeh LLC,false,Patra Group : Opuzen,2
571,O. J. Van Maele,O. J. Van Maele,O. J. Van Maele,false,Patra Group : Opuzen,2
464,Office Depot,Office Depot,Office Depot,false,Patra Group : Opuzen,2
4339,Opuzen,Opuzen,Opuzen,false,Patra Group : Opuzen,2
4341,Orange County Industrial Sewing Machine CO Inc,Orange County Industrial Sewing Machine CO Inc,Orange County Industrial Sewing Machine CO Inc,false,Patra Group : Opuzen,2
572,Outdura,Outdura,Outdura,false,Patra Group : Opuzen,2
465,P. Kaufmann,P. Kaufmann,P. Kaufmann,false,Patra Group : Opuzen,2
573,P/K Lifestyles,P/K Lifestyles,P/K Lifestyles,false,Patra Group : Opuzen,2
4328,Palette,Palette,Palette,false,Patra Group : Opuzen,2
466,Pandora Radio,Pandora Radio,Pandora Radio,false,Patra Group : Opuzen,2
467,Para,Para,Para,false,Patra Group : Opuzen,2
468,Parking,Parking,Parking,false,Patra Group : Opuzen,2
469,Paul + Contract Commission,Paul + Contract Commission,Paul + Contract Commission,false,Patra Group : Opuzen,2
470,PBG,PBG,PBG,false,Patra Group : Opuzen,2
471,Peace Action West,Peace Action West,Peace Action West,false,Patra Group : Opuzen,2
472,Peleton,Peleton,Peleton,false,Patra Group : Opuzen,2
473,"Pershing FBO Patra, Inc Cash Balance Plan","Pershing FBO Patra, Inc Cash Balance Plan","Pershing FBO Patra, Inc Cash Balance Plan",false,Patra Group : Opuzen,2
474,Pershing Retail Deposits,Pershing Retail Deposits,Pershing Retail Deposits,false,Patra Group : Opuzen,2
475,Pillows Upholstery and More,Pillows Upholstery and More,Pillows Upholstery and More,false,Patra Group : Opuzen,2
476,Pitney Bowes - Postage Main Office,Pitney Bowes - Postage Main Office,Pitney Bowes - Postage Main Office,false,Patra Group : Opuzen,2
477,Pitney Bowes - Postage Warehouse,Pitney Bowes - Postage Warehouse,Pitney Bowes - Postage Warehouse,false,Patra Group : Opuzen,2
478,Pittney Bowes - Lease - Main Office,Pittney Bowes - Lease - Main Office,Pittney Bowes - Lease - Main Office,false,Patra Group : Opuzen,2
479,Pittney Bowes - Lease - Warehouse,Pittney Bowes - Lease - Warehouse,Pittney Bowes - Lease - Warehouse,false,Patra Group : Opuzen,2
574,Pointe International,Pointe International,Pointe International,false,Patra Group : Opuzen,2
4329,Pongs,Pongs,Pongs,false,Patra Group : Opuzen,2
480,Pozzi Arturo,Pozzi Arturo,Pozzi Arturo,false,Patra Group : Opuzen,2
481,"Priority1, Inc","Priority1, Inc","Priority1, Inc",false,Patra Group : Opuzen,2
3833,Prosetex,Prosetex,Prosetex,false,Patra Group : Opuzen,2
482,Quill Corporation,Quill Corporation,Quill Corporation,false,Patra Group : Opuzen,2
483,Radiate Textiles,Radiate Textiles,Radiate Textiles,false,Patra Group : Opuzen,2
484,Ramco,Ramco,Ramco,false,Patra Group : Opuzen,2
575,Ramtex Inc.,Ramtex Inc.,Ramtex Inc.,false,Patra Group : Opuzen,2
485,Redline Telecom,Redline Telecom,Redline Telecom,false,Patra Group : Opuzen,2
576,Regal,Regal,Regal,false,Patra Group : Opuzen,2
486,Republic Services,Republic Services,Republic Services,false,Patra Group : Opuzen,2
487,Restaurant,Restaurant,Restaurant,false,Patra Group : Opuzen,2
3837,Romain Maes,Romain Maes,Romain Maes,false,Patra Group : Opuzen,2
